"Project Name",City,"Total Housing Units","Local partners",Sponsor,"Tax Credit units","Unit type","Allocation amount","Allocation type","Allocation year"
"Ellis Block",Springfield,9,"Rockingham Area Community Land Trust",Evernorth,9,"Rehabilitation, Acquisition","$50,000",State,2011
"Avenue Apartments",Burlington,33,"Champlain Housing Trust",Evernorth,28,"New construction","$584,285",Federal,2011
"Hickory Street (Forest Park) - Phase II",Rutland,45,"Rutland Housing Authority",Evernorth,39,,"$50,000",State,2011
"Stanislaus Housing",Rutland,21,,"Rutland County Community Land Trust",20,"Rehabilitation, Acquisition","$59,000",State,2011
"Cedar's Edge Apartments","Essex Junction",30,"Champlain Housing Trust",Evernorth,25,"New construction","$55,000",State,2011
"Alburgh Family Housing",Alburg,13,"Champlain Housing Trust",Evernorth,13,,"$52,000",State,2011
"Thayer Senior Housing - Phase I",Burlington,33,,"Cathedral Square Corp.",27,"New construction","$525,000",Federal,2011
,,,,,,,"$385,929",Federal,2011
"Morrisville Community Housing",Morrisville,16,"Downstreet Housing and Community Development",Evernorth,16,"Rehabilitation, Acquisition","$279,000",Federal,2011
"Safford Commons",Woodstock,28,Evernorth,,23,"Rehabilitation, Acquisition","$550,000",Federal,2011
"Hickory Street (Forest Park) - Phase I",Rutland,33,"Rutland Housing Authority",Evernorth,26,,"$519,750",Federal,2011
"Upper Story Housing",Brattleboro,24,,Evernorth,19,"New construction","$155,500",Federal,2011
"Hawk's Meadow",Essex,49,"Dousevicz Inc.",,44,"New construction","$385,929",Federal,2011
"Pine Manor Senior Housing",Alburg,16,"Champlain Housing Trust",Evernorth,16,,"$20,000",State,2011
,,,,,,,"$385,929",Federal,2011
"Cedar's Edge Apartments","Essex Junction",30,"Champlain Housing Trust",Evernorth,25,"New construction","$51,010",Federal,2011
"Newport Family",Newport,21,RuralEdge,Evernorth,21,"New construction, Rehabilitation, Acquisition","$390,000",Federal,2011
"Johnson Community Housing",Johnson,28,"Lamoille Housing Partnership",Evernorth,26,"New construction, Rehabilitation, Acquisition","$492,000",Federal,2010
"Bellows Falls Family - Williams and South","Bellows Falls",17,"Rockingham Area Community Land Trust",Evernorth,17,"Rehabilitation, Acquisition","$29,400",State,2010
"Ellis Block",Springfield,9,"Rockingham Area Community Land Trust",Evernorth,9,"Rehabilitation, Acquisition","$115,500",Federal,2010
"Pleasant Street Apartments - Rehab",Enosburg,24,"Champlain Housing Trust",Evernorth,24,"Rehabilitation, Acquisition","$95,191","Tax Exempt Bonds",2010
"Salisbury Square",Randolph,12,"Randolph Area Community Development Corp.",,12,"New construction","$320,000",Federal,2010
"Upper Story Housing",Brattleboro,24,,Evernorth,19,"New construction","$22,250",Federal,2010
"River Bend Apartments",Enosburg,30,,"Housing Foundation Inc., The",30,"Rehabilitation, Acquisition","$118,457","Tax Exempt Bonds",2010
"Bellows Falls Family - Williams and South","Bellows Falls",17,"Rockingham Area Community Land Trust",Evernorth,17,"Rehabilitation, Acquisition","$117,939","Tax Exempt Bonds",2010
"Stanislaus Housing",Rutland,21,,"Rutland County Community Land Trust",20,"Rehabilitation, Acquisition","$115,000","Tax Exempt Bonds",2010
"Cathedral Square Senior Living",Burlington,108,,"Cathedral Square Corp.",92,"Rehabilitation, Acquisition","$188,029","Tax Exempt Bonds",2010
"Pine Manor Senior Housing",Alburg,16,"Champlain Housing Trust",Evernorth,16,,"$68,094","Tax Exempt Bonds",2010
"Missisquoi Manor Senior",Richford,24,"Richford Renaissance Inc.",Evernorth,24,"Rehabilitation, Acquisition","$54,400","Tax Exempt Bonds",2010
"Cedar's Edge Apartments","Essex Junction",30,"Champlain Housing Trust",Evernorth,25,"New construction","$406,990",Federal,2010
"Vergennes Senior Housing",Vergennes,25,"Addison County Community Trust",Evernorth,20,"New construction","$355,000",Federal,2010
"Grand Way Commons II","South Burlington",28,,"Cathedral Square Corp.",28,"New construction","$137,500","Tax Exempt Bonds",2010
,,,,,,,"$384,300",Federal,2010
,,,,,,,"$384,300",Federal,2010
"Canal Street Veterans Housing",Winooski,28,"Committee on Temporary Shelter",Evernorth,28,"New construction","$384,300",Federal,2010
"Alburgh Family Housing",Alburg,13,"Champlain Housing Trust",Evernorth,13,,"$54,960",Federal,2010
"Pine Meadow",Middlebury,30,"Addison County Community Trust",Evernorth,24,"New construction","$434,500",Federal,2009
"Armory Square",Windsor,58,"Rockingham Area Community Land Trust",Evernorth,51,Rehabilitation,"$12,464",Federal,2009
"Brookside Residential Apartments","St. Albans",37,"Homestead Design Inc.",,37,"New construction","$692,067",Federal,2009
"Blake Commons",Swanton,16,"Champlain Housing Trust",Evernorth,16,"New construction","$432,032",Federal,2009
"Downtown Crossing",Bennington,12,"Shires Housing",,10,"Rehabilitation, Acquisition","$2,885",Federal,2009
"A.W. Richards Housing LP",Brattleboro,21,"Brattleboro Housing Authority",Evernorth,18,"Rehabilitation, Acquisition","$170,000",Federal,2009
"Salmon Run Redevelopment",Burlington,79,"Champlain Housing Trust",Evernorth,61,"Rehabilitation, Acquisition","$328,121","Tax Exempt Bonds",2009
"A.W. Richards Housing LP",Brattleboro,21,"Brattleboro Housing Authority",Evernorth,18,"Rehabilitation, Acquisition","$345,000",Federal,2009
"Newport Senior Housing",Newport,13,RuralEdge,RuralEdge,13,"Rehabilitation, Acquisition","$95,665","Tax Exempt Bonds",2009
"Brookside Village",Colchester,42,"Champlain Housing Trust",Evernorth,36,"New construction","$585,000",Federal,2009
"Upper Story Housing",Brattleboro,24,,Evernorth,19,"New construction","$289,500",Federal,2009
"North Branch and Barre Street Rehab",Montpelier,45,"Downstreet Housing and Community Development",Evernorth,34,"Rehabilitation, Acquisition","$30,000",Federal,2009
"Bellows Falls Housing - Pine Street","Bellows Falls",11,"Rockingham Area Community Land Trust",Evernorth,11,"Rehabilitation, Acquisition","$175,352",Federal,2009
"Tontine Canal",Brattleboro,21,,,18,Rehabilitation,"$37,600",State,2009
"West River Valley - Assisted Living",Townshend,28,"Valley Cares",Evernorth,15,"New construction","$54,000",State,2009
"Wheeler Brook Housing",Warren,18,"Downstreet Housing and Community Development",Evernorth,16,"New construction","$84,660",State,2009
"Armory Square",Windsor,58,"Rockingham Area Community Land Trust",Evernorth,51,Rehabilitation,"$79,680",State,2009
"Safford Commons",Woodstock,28,Evernorth,,23,"Rehabilitation, Acquisition","$67,700",State,2009
"Armory Square",Windsor,58,"Rockingham Area Community Land Trust",Evernorth,51,Rehabilitation,"$44,820",State,2009
"Essex Senior Housing",Essex,48,"Cathedral Square Corp.",,48,"New construction","$31,875",State,2009
"Alburgh Family Housing",Alburg,13,"Champlain Housing Trust",Evernorth,13,,"$145,040",Federal,2009
"Abbott Neighborhood Housing",Brattleboro,29,,,27,"Rehabilitation, Acquisition","$283,500",Federal,2008
"Tontine Canal",Brattleboro,21,,,18,Rehabilitation,"$229,500",Federal,2008
"King Street Housing",Burlington,20,"Champlain Housing Trust",Evernorth,17,"New construction, Rehabilitation","$345,783",Federal,2008
"Rutland Scattered Site 2008 (Cottage Clover Pine)",Rutland,27,,"Rutland County Community Land Trust",25,"Rehabilitation, Acquisition","$369,600",Federal,2008
"North Branch and Barre Street Rehab",Montpelier,45,"Downstreet Housing and Community Development",Evernorth,34,"Rehabilitation, Acquisition","$260,000",Federal,2008
"Wheeler Brook Housing",Warren,18,"Downstreet Housing and Community Development",Evernorth,16,"New construction","$63,453",Federal,2008
"Armory Square",Windsor,58,"Rockingham Area Community Land Trust",Evernorth,51,Rehabilitation,"$617,116",Federal,2008
"Safford Commons",Woodstock,28,Evernorth,,23,"Rehabilitation, Acquisition","$365,500",Federal,2008
"Enosburg Falls Housing","Enosburg Falls",28,,Evernorth,25,"Rehabilitation, Acquisition","$32,500",State,2008
"Sylvan Woods Family Housing",Stowe,28,"Lamoille Housing Partnership",Evernorth,22,"New construction","$55,000",State,2008
"Willard Mill Housing","St. Albans",27,Evernorth,"Champlain Housing Trust",25,Rehabilitation,"$55,500",State,2008
"Meadowlane Apartments",Milton,36,"Housing Foundation Inc., The",,35,"Rehabilitation, Acquisition","$326,000",Federal,2008
"Esteyville Housing",Brattleboro,20,,,20,Rehabilitation,"$53,500",State,2008
"Pine Meadow",Middlebury,30,"Addison County Community Trust",Evernorth,24,"New construction","$70,000","Tax Exempt Bonds",2008
"Proctorsville Green Housing- MF Rental",Proctorsville,16,"Rockingham Area Community Land Trust",,16,"New construction, Rehabilitation","$70,719","Tax Exempt Bonds",2008
"West River Valley - Assisted Living",Townshend,28,"Valley Cares",Evernorth,15,"New construction","$60,000",State,2008
"Cummings St",Montpelier,20,,"Capital City Housing Foundation Inc",18,Acquisition,"$77,700",Federal,2008
"Downtown Crossing",Bennington,12,"Shires Housing",,10,"Rehabilitation, Acquisition","$149,494",Federal,2007
"Linden Terrace",Rutland,22,,Evernorth,20,"Rehabilitation, Acquisition","$42,775","Tax Exempt Bonds",2007
"King Street Housing",Burlington,20,"Champlain Housing Trust",Evernorth,17,"New construction, Rehabilitation","$64,217",Federal,2007
"Hardwick Family Housing",Hardwick,8,"Lamoille Housing Partnership",Evernorth,8,Rehabilitation,"$39,065","Tax Exempt Bonds",2007
"Essex Senior Housing",Essex,48,"Cathedral Square Corp.",,48,"New construction","$251,411","Tax Exempt Bonds",2007
"Willard Mill Housing","St. Albans",27,Evernorth,"Champlain Housing Trust",25,Rehabilitation,"$432,662",Federal,2007
"Rail City Apartments","St. Albans",44,"Cathedral Square Corp.","Cathedral Square Corp.",44,"Rehabilitation, Acquisition","$131,000","Tax Exempt Bonds",2007
"Wheeler Brook Housing",Warren,18,"Downstreet Housing and Community Development",Evernorth,16,"New construction","$260,000",Federal,2007
"Armory Square",Windsor,58,"Rockingham Area Community Land Trust",Evernorth,51,Rehabilitation,"$133,450","Tax Exempt Bonds",2007
"West River Valley - Assisted Living",Townshend,28,"Valley Cares",Evernorth,15,"New construction","$193,000",Federal,2007
"Bemis Block",Hardwick,14,"Lamoille Housing Partnership",Evernorth,14,Rehabilitation,"$98,000",Federal,2007
"Farrell Street Senior Housing","South Burlington",63,,"Cathedral Square Corp.",63,"New construction","$373,000","Tax Exempt Bonds",2007
"Enosburg Falls Housing","Enosburg Falls",28,,Evernorth,25,"Rehabilitation, Acquisition","$47,970",Federal,2007
"Birge & Worden Housing",Brattleboro,17,,,15,"Rehabilitation, Acquisition","$244,000",Federal,2007
"Stonewall Bianchi",Montpelier,18,"Downstreet Housing and Community Development",,17,"Rehabilitation, Acquisition","$150,000",Federal,2007
"Glover Senior Housing",Glover,12,RuralEdge,,12,"New construction, Rehabilitation","$75,755","Tax Exempt Bonds",2007
"Enosburg Falls Housing","Enosburg Falls",28,,Evernorth,25,"Rehabilitation, Acquisition","$92,500",State,2007
"West River Valley-Independent",Townshend,24,"Valley Cares",Evernorth,19,"New construction","$280,000",Federal,2007
"Passumpsic North & South","St. Johnsbury",28,,Evernorth,28,"Rehabilitation, Acquisition","$95,000","Tax Exempt Bonds",2007
,,,,,,,"$47,000",State,2007
"Callahan Housing",Burlington,28,"Champlain Housing Trust",Evernorth,28,Rehabilitation,"$267,750",Federal,2007
"Vernon Senior Housing",Vernon,24,"Vernon Senior Housing Inc.",Evernorth,17,"New construction","$29,000",State,2007
"Farrell Street Senior Housing","South Burlington",63,,"Cathedral Square Corp.",63,"New construction","$74,000",State,2007
"Sadawga Springs",Whitingham,9,,,7,"Rehabilitation, Acquisition","$47,000",State,2007
"Middlebury South Housing Limited Partnership",Middlebury,30,"Addison County Community Action Group",Evernorth,25,"New construction","$531,000",Federal,2006
"Conant Square Inn",Brandon,19,"Rutland County Community Land Trust",,19,Rehabilitation,"$77,000","Tax Exempt Bonds",2006
"Green Mountain Apartments",Northfield,30,"Vermont State Housing Authority",,29,"New construction, Rehabilitation","$103,000","Tax Exempt Bonds",2006
"Esteyville Housing",Brattleboro,20,,,20,Rehabilitation,"$140,000","Tax Exempt Bonds",2006
"Creekview Housing",Vergennes,36,,Evernorth,31,"Rehabilitation, Acquisition","$132,732","Tax Exempt Bonds",2006
"Waits River Housing",Bradford,32,"Downstreet Housing and Community Development",Evernorth,27,"Rehabilitation, Acquisition","$434,375",Federal,2006
"Groton Redevelopment",Groton,18,RuralEdge,Evernorth,18,Rehabilitation,"$125,845","Tax Exempt Bonds",2006
"Enosburg Falls Housing","Enosburg Falls",28,,Evernorth,25,"Rehabilitation, Acquisition","$461,280",Federal,2006
"Sylvan Woods Family Housing",Stowe,28,"Lamoille Housing Partnership",Evernorth,22,"New construction","$519,000",Federal,2006
"Rutland AFS Scattered Site",Rutland,13,"Rutland County Community Land Trust",,13,"New construction, Rehabilitation","$227,000",Federal,2006
"Butterfield Commons (Elderly)","West Dover",26,,,22,"New construction","$179,500","Tax Exempt Bonds",2006
"Evergreen Place",Waitsfield,18,,"Downstreet Housing and Community Development",18,"New construction, Rehabilitation","$120,000","Tax Exempt Bonds",2006
"Waits River Housing",Bradford,32,"Downstreet Housing and Community Development",Evernorth,27,"Rehabilitation, Acquisition","$62,500",State,2006
"Dorset Housing",Dorset,20,,Evernorth,16,"New construction","$34,877",Federal,2006
"Main Street Mill",Richford,12,,Evernorth,12,"Acquisition, Rehabilitation","$162,500",Federal,2006
"Conant Square Inn",Brandon,19,"Rutland County Community Land Trust",,19,Rehabilitation,"$32,500",State,2006
"Vernon Senior Housing",Vernon,24,"Vernon Senior Housing Inc.",Evernorth,17,"New construction","$143,972","Tax Exempt Bonds",2006
"Groton Redevelopment",Groton,18,RuralEdge,Evernorth,18,Rehabilitation,"$44,000",State,2006
"Evergreen Place",Waitsfield,18,,"Downstreet Housing and Community Development",18,"New construction, Rehabilitation","$106,000",State,2006
"Wall Street Apartments",Springfield,13,,Evernorth,13,"Rehabilitation, Acquisition","$78,902","Tax Exempt Bonds",2005
,,,,,,,"$61,243","Tax Exempt Bonds",2005
"Round Barn Apartments","Grand Isle",24,,"Champlain Housing Trust",24,"Rehabilitation, Acquisition","$61,243","Tax Exempt Bonds",2005
"Barlow Square (aka Central Block)",Winooski,213,,"Hall Keen LLC",98,"New construction","$2,214,260",Federal,2005
"Shelburne Interfaith Family Housing",Shelburne,18,"Champlain Housing Trust",Evernorth,16,"New construction, Rehabilitation","$8,000",Federal,2005
"Waugh Opera House","St. Albans",20,"Champlain Housing Trust",Evernorth,16,"Acquisition, Rehabilitation","$233,600",Federal,2005
"Wilder Block",Brattleboro,8,,,8,"Rehabilitation, Acquisition","$118,500",Federal,2005
"School Street Apartments",Plainfield,13,,"Vermont State Housing Authority",13,"Rehabilitation, Acquisition","$39,724","Tax Exempt Bonds",2005
"Southview Apartments",Springfield,69,"Rockingham Area Community Land Trust",Evernorth,54,"Rehabilitation, Acquisition","$360,000",Federal,2005
"Stone Hill",Middlebury,27,"Addison County Community Action Group",Evernorth,22,"New construction","$378,000",Federal,2005
"Sadawga Springs",Whitingham,9,,,7,"Rehabilitation, Acquisition","$112,350",Federal,2005
"River Station Apts",Montpelier,36,"Downstreet Housing and Community Development",Evernorth,29,"New construction","$465,000",Federal,2005
"Oak & Homestead",Brattleboro,15,,,14,Rehabilitation,"$224,000",Federal,2005
"Butterfield Commons (Elderly)","West Dover",26,,,22,"New construction","$150,000",State,2005
"Dorset Housing",Dorset,20,,Evernorth,16,"New construction","$238,123",Federal,2005
"Whetstone Housing",Brattleboro,20,,,17,"Acquisition, Rehabilitation","$82,090","Tax Exempt Bonds",2004
"Colonial Apartments",Rutland,14,"Rutland County Community Land Trust",,14,"Rehabilitation, Acquisition","$39,150","Tax Exempt Bonds",2004
"Whitcomb Terrace","Essex Junction",19,"Cathedral Square Corp.",Evernorth,15,"New construction","$168,000",Federal,2004
"Gardens at Williamstown Square II, The",Williamstown,21,,,5,"New construction","$18,310","Tax Exempt Bonds",2004
"Mad River Meadows",Waitsfield,24,"Downstreet Housing and Community Development",Evernorth,24,"Rehabilitation, Acquisition","$65,492","Tax Exempt Bonds",2004
"Roosevelt Apts",Burlington,27,,,27,"New construction","$168,370",Federal,2004
"Stony Creek",Wilder,18,,"Homestead Design Inc.",18,"New construction","$271,374",Federal,2004
"Richford Community Housing",Richford,15,,Evernorth,15,"Acquisition, Rehabilitation","$93,330","Tax Exempt Bonds",2004
,,,,,,,"$7,025",Federal,2004
,,,,,,,"$146,821","Tax Exempt Bonds",2004
"Moose River Housing","St. Johnsbury",28,RuralEdge,Evernorth,28,"Acquisition, Rehabilitation","$163,594","Tax Exempt Bonds",2004
,,,,,,,"$294,311","Tax Exempt Bonds",2004
"Peterson Pl (formerly Garden Apts)",Burlington,13,,"Burlington Housing Authority",13,"Acquisition, Rehabilitation","$32,025","Tax Exempt Bonds",2004
"Manchester Commons",Manchester,15,,"Shires Housing",10,"New construction","$8,782",Federal,2004
"Highgate Redevelopment",Barre,120,"Highgate Housing Inc.",Evernorth,74,Rehabilitation,"$150,000",State,2004
"Howard Block","Bellows Falls",13,"Rockingham Area Community Land Trust",Evernorth,13,Rehabilitation,"$129,954","Tax Exempt Bonds",2004
"Kazon Bldg","West Rutland",6,,"Rutland County Community Land Trust",6,"Acquisition, Rehabilitation","$28,198","Tax Exempt Bonds",2004
"ECHO Scattered Sites",Burlington,20,"Champlain Housing Trust",Evernorth,18,"Acquisition, Rehabilitation","$8,911",Federal,2004
,,,,,,,"$28,710",Federal,2004
"64 School St",Rutland,10,,"Rutland County Community Land Trust",10,"New construction","$61,190","Tax Exempt Bonds",2004
"Butler House","St. Albans",6,"Champlain Housing Trust",Evernorth,6,Rehabilitation,"$36,438","Tax Exempt Bonds",2004
"Butterfield Commons (Family)","West Dover",14,,,7,"New construction","$147,500",Federal,2004
"Whetstone Housing",Brattleboro,20,,,17,"Acquisition, Rehabilitation","$100,000",State,2003
"Cabot Commons",Cabot,8,,"Downstreet Housing and Community Development",7,"New construction","$54,402","Tax Exempt Bonds",2003
"Waterfront Housing",Burlington,40,"Champlain Housing Trust",Evernorth,28,"New construction","$140,606",Federal,2003
"Tuttle Block",Rutland,16,"Rutland County Community Land Trust",Evernorth,16,Rehabilitation,"$160,000",Federal,2003
,,,,,,,"$84,579","Tax Exempt Bonds",2003
"Mountain View/St Johnsbury","St. Johnsbury",48,,Evernorth,48,"Rehabilitation, Acquisition","$145,978","Tax Exempt Bonds",2003
"Smallest City Housing",Vergennes,19,"Champlain Housing Trust",Evernorth,19,"New construction","$126,740","Tax Exempt Bonds",2003
"Hawk's Nest","St. Albans",66,"Cathedral Square Corp.",Evernorth,57,"New construction","$192,774","Tax Exempt Bonds",2003
"Roosevelt Apts",Burlington,27,,,27,"New construction","$218,709",Federal,2003
"Shelburne Interfaith Family Housing",Shelburne,18,"Champlain Housing Trust",Evernorth,16,"New construction, Rehabilitation","$272,000",Federal,2003
,,,,,,,"$140,500",Federal,2003
"Smith Housing",Middlebury,17,"Addison County Community Action Group",Evernorth,16,"Acquisition, Rehabilitation","$83,807","Tax Exempt Bonds",2003
"Stowe Community Housing",Stowe,43,"Lamoille Housing Partnership",Evernorth,37,"New construction","$505,000",Federal,2003
"Rutland Rehab II",Rutland,31,"Rutland County Community Land Trust",Evernorth,31,Rehabilitation,"$20,491","Tax Exempt Bonds",2003
,,,,,,,"$259,079","Tax Exempt Bonds",2003
"Mapletree Pl",Williston,50,"Champlain Housing Trust",Evernorth,36,"New construction","$135,450","Tax Exempt Bonds",2003
"Maples II",Rutland,32,,"Green Mountain Development Group",14,"New construction","$41,273","Tax Exempt Bonds",2003
"Monarch Apts","Essex Junction",30,,"Homestead Design Inc.",26,"New construction","$365,555",Federal,2003
"Falcon Manor",Williston,61,,"Yandow Dousevicz Construction",27,"New construction","$69,038","Tax Exempt Bonds",2003
"Highgate Redevelopment",Barre,120,"Highgate Housing Inc.",Evernorth,74,Rehabilitation,"$50,000",State,2003
"Island Housing","Grand Isle",16,"Champlain Housing Trust",Evernorth,15,"New construction","$183,750",Federal,2003
"Hollow Dr",Hartford,18,"Twin Pines Housing Trust","Housing Foundation Inc., The",18,"New construction","$108,054","Tax Exempt Bonds",2003
"Highgate Redevelopment",Barre,120,"Highgate Housing Inc.",Evernorth,74,Rehabilitation,"$325,500",Federal,2003
"Arlington Village Ctr",Arlington,29,,"Shires Housing",20,"New construction, Acquisition, Rehabilitation","$24,782",Federal,2003
"Branchwood Apts",Randolph,12,"Randolph Area Community Development Corp.",Evernorth,10,"New construction","$126,000",Federal,2003
"Waterfront Housing",Burlington,40,"Champlain Housing Trust",Evernorth,28,"New construction","$338,391",Federal,2002
,,,,,,,"$4,400",Federal,2002
"Groton Redevelopment",Groton,18,RuralEdge,Evernorth,18,Rehabilitation,"$20,000",State,2002
"Vernon Senior Housing",Vernon,24,"Vernon Senior Housing Inc.",Evernorth,17,"New construction","$50,000",State,2002
"Creekview Housing",Vergennes,36,,Evernorth,31,"Rehabilitation, Acquisition","$80,000",State,2002
"Sunrise Settlement",Quechee,22,,"Homestead Design Inc.",22,"New construction","$381,202",Federal,2002
,,,,,,,"$120,000",Federal,2002
"Park Village II",Brandon,34,,"Holmberg Construction Inc.",34,"Acquisition, Rehabilitation","$369,316",Federal,2002
"Green Mountain Seminary","Waterbury Center",16,"Downstreet Housing and Community Development",Evernorth,14,"Acquisition, Rehabilitation","$82,147","Tax Exempt Bonds",2002
,,,,,,,"$91,024","Tax Exempt Bonds",2002
"ECHO North & North",Burlington,12,"Champlain Housing Trust",Evernorth,11,"New construction","$127,000",Federal,2002
"Highgate Redevelopment",Barre,120,"Highgate Housing Inc.",Evernorth,74,Rehabilitation,"$310,000",Federal,2002
"ECHO Scattered Sites",Burlington,20,"Champlain Housing Trust",Evernorth,18,"Acquisition, Rehabilitation","$85,000",Federal,2002
"Manchester Commons",Manchester,15,,"Shires Housing",10,"New construction","$108,149",Federal,2002
"Ben South",Bennington,21,,"Shires Housing",15,"Acquisition, Rehabilitation","$31,400","Tax Exempt Bonds",2002
"Clark & Canal",Brattleboro,12,,,10,"Acquisition, Rehabilitation","$41,588","Tax Exempt Bonds",2002
"Columbian Ave",Rutland,9,,"Rutland County Community Land Trust",9,"Acquisition, Rehabilitation","$46,414","Tax Exempt Bonds",2002
"Arbor Gardens",Colchester,37,,"Homestead Design Inc.",37,"New construction","$157,455",Federal,2002
"Baldwin Block","Wells River",7,"Wells River Action Project",Evernorth,7,"Acquisition, Rehabilitation","$36,061","Tax Exempt Bonds",2002
"Victoria Pl Apts",Burlington,34,,"Bove Brothers Inc.",34,"New construction","$359,186",Federal,2001
,,,,,,,"$172,600",Federal,2001
"Upper Valley Transitional Housing (Overlook Housing)","White River Junction",12,"Twin Pines Housing Trust",Evernorth,12,"Rehabilitation, New construction","$81,198",Federal,2001
"Western Ave Apts",Brattleboro,13,,,10,Rehabilitation,"$74,000",Federal,2001
"Gardens at Williamstown Sq I, The",Williamstown,30,,,7,"Acquisition, Rehabilitation, New construction","$21,056","Tax Exempt Bonds",2001
"Ruggles House",Burlington,14,"Cathedral Square Corp.",Evernorth,11,"Rehabilitation, New construction","$58,000",Federal,2001
"St. Johnsbury House","St. Johnsbury",39,,"Green Mountain Development Group",39,"Acquisition, Rehabilitation","$9,000",Federal,2001
"Moose River Housing","St. Johnsbury",28,RuralEdge,Evernorth,28,"Acquisition, Rehabilitation","$50,000",State,2001
,,,,,,,"$460,000",Federal,2001
"Manchester Knoll (Woodland Station)",Manchester,20,"Shires Housing",Evernorth,15,"New construction","$4,400",Federal,2001
,,,,,,,"$4,400",Federal,2001
,,,,,,,"$118,876",Federal,2001
"Franklin Carriage House",Franklin,18,"Franklin Homestead",Evernorth,10,"New construction","$37,573","Tax Exempt Bonds",2001
,,,,,,,"$150,000",Federal,2001
,,,,,,,"$100,000",State,2001
"Howard Block","Bellows Falls",13,"Rockingham Area Community Land Trust",Evernorth,13,Rehabilitation,"$129,954",Federal,2001
,,,,,,,"$74,745","Tax Exempt Bonds",2001
,,,,,,,"$33,189","Tax Exempt Bonds",2001
"Ben South",Bennington,21,,"Shires Housing",15,"Acquisition, Rehabilitation","$19,170","Tax Exempt Bonds",2001
"Crystal Lake",Barton,15,RuralEdge,Evernorth,15,"Acquisition, Rehabilitation","$59,575","Tax Exempt Bonds",2001
,,,,,,,"$85,271","Tax Exempt Bonds",2001
"Arbor Gardens",Colchester,37,,"Homestead Design Inc.",37,"New construction","$231,907",Federal,2001
"Arlington Village Ctr",Arlington,29,,"Shires Housing",20,"New construction, Acquisition, Rehabilitation","$147,515",Federal,2001
,,,,,,,"$335,000",Federal,2000
"The Briars (Briars Housing II)",Hartford,24,,Evernorth,20,"Rehabilitation, Acquisition","$24,430",Federal,2000
"Swanton School",Swanton,16,,Evernorth,16,"Acquisition, Rehabilitation","$51,306",Federal,2000
"Saxtons River","Saxtons River",17,"Rockingham Area Community Land Trust",Evernorth,17,"Acquisition, Rehabilitation","$68,530",Federal,2000
"St. Johnsbury House","St. Johnsbury",39,,"Green Mountain Development Group",39,"Acquisition, Rehabilitation","$198,425",Federal,2000
"Mary Exner Block","Bellows Falls",10,"Rockingham Area Community Land Trust",Evernorth,8,Rehabilitation,"$26,909",Federal,2000
"Portland & Main",Morrisville,8,,Evernorth,8,"Acquisition, Rehabilitation","$37,500",Federal,2000
"Eagle Crest",Williston,60,,"Yandow Dousevicz Construction",14,"New construction, Rehabilitation, Acquisition","$24,882",Federal,2000
"Hillcrest Views/Maple St","St. Albans",38,,"Vermont State Housing Authority",38,"Acquisition, Rehabilitation","$32,900",Federal,2000
"Hawkins Housing",Middlebury,14,,Evernorth,14,,"$3,687",Federal,2000
,,,,,,,"$15,021",Federal,2000
"Green Mountain Seminary","Waterbury Center",16,"Downstreet Housing and Community Development",Evernorth,14,"Acquisition, Rehabilitation","$42,000",State,2000
"Clark & Canal",Brattleboro,12,,,10,"Acquisition, Rehabilitation","$58,000",State,2000
,,,,,,,"$141,000",Federal,2000
"Mary Exner Block","Bellows Falls",10,"Rockingham Area Community Land Trust",Evernorth,8,Rehabilitation,"$36,603",Federal,1999
"Park Pl II",Burlington,14,,Evernorth,14,"Acquisition, Rehabilitation","$4,856",Federal,1999
"Pearl & Union SRO",Burlington,18,,Evernorth,18,"Acquisition, Rehabilitation","$1,534",Federal,1999
"Mill View Housing",Burlington,12,,Evernorth,12,"New construction","$85,779",Federal,1999
"McAuley Sq Allocated (Independence Pl)",Burlington,7,"Cathedral Square Corp.",Evernorth,7,,"$88,000",Federal,1999
"Park Village I",Brandon,39,,"Holmberg Construction Inc.",26,"Acquisition, Rehabilitation","$162,104",Federal,1999
"Eagle Crest",Williston,60,,"Yandow Dousevicz Construction",14,"New construction, Rehabilitation, Acquisition","$24,469",Federal,1999
"Manchester Knoll (Woodland Station)",Manchester,20,"Shires Housing",Evernorth,15,"New construction","$138,113",Federal,1999
"Hawkins Housing",Middlebury,14,,Evernorth,14,,"$81,784",Federal,1999
"Crystal Lake",Barton,15,RuralEdge,Evernorth,15,"Acquisition, Rehabilitation","$59,564",Federal,1999
"Bennington Arts Housing",Bennington,15,,Evernorth,14,"Acquisition, Rehabilitation","$3,060",Federal,1999
"Bus Barns Allocated",Burlington,12,"Champlain Housing Trust",Evernorth,12,,"$137,782",Federal,1999
WRAP,"Wells River",22,,Evernorth,17,"Acquisition, Rehabilitation","$4,665",Federal,1998
BRHIP,Burlington,33,,Evernorth,27,"Acquisition, Rehabilitation","$4,009",Federal,1998
"Park Pl II",Burlington,14,,Evernorth,14,"Acquisition, Rehabilitation","$75,000",Federal,1998
"Pearl & Union SRO",Burlington,18,,Evernorth,18,"Acquisition, Rehabilitation","$55,766",Federal,1998
"Maples I",Rutland,51,,"Green Mountain Development Group",36,"New construction","$231,871",Federal,1998
"Park Village I",Brandon,39,,"Holmberg Construction Inc.",26,"Acquisition, Rehabilitation","$18,340",Federal,1998
"Homestead Greene",Bennington,17,,"THM Inc.",17,"New construction","$59,150",Federal,1998
